City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pevek,5,RU,1561404009,70,69.7,170.27,38.24,9.95
Rikitea,69,PF,1561403624,86,-23.12,-134.97,71.18,13.58
Avarua,89,CK,1561403802,73,-21.21,-159.78,73.4,4.7
Chuy,100,UY,1561404009,90,-33.69,-53.46,60.38,7.11
Saskylakh,4,RU,1561403622,50,71.97,114.09,59.84,5.75
Kisangani,38,CD,1561404009,76,0.52,25.21,76.22,1.07
Cape Town,0,ZA,1561404010,76,-33.93,18.42,59.0,19.46
Imeni Poliny Osipenko,100,RU,1561404010,97,52.42,136.49,48.32,4.23
Cherskiy,9,RU,1561403820,38,68.75,161.3,65.78,6.02
Hermanus,88,ZA,1561403625,95,-34.42,19.24,57.99,1.99
Ushuaia,75,AR,1561403588,69,-54.81,-68.31,35.6,3.36
Arraial do Cabo,0,BR,1561403623,61,-22.97,-42.02,82.4,4.7
Bredasdorp,93,ZA,1561404010,82,-34.53,20.04,55.4,9.17
Lorengau,91,PG,1561403891,84,-2.02,147.27,80.18,5.53
Lavrentiya,71,RU,1561404011,86,65.58,-170.99,36.98,4.36
New Norfolk,0,AU,1561403523,69,-42.78,147.06,39.2,8.05
Pangody,17,RU,1561404011,74,65.85,74.49,40.94,15.1
Moron,33,VE,1561404011,75,10.49,-68.2,85.22,1.28
Chokurdakh,7,RU,1561404011,42,70.62,147.9,65.42,10.74
Tasiilaq,90,GL,1561403548,93,65.61,-37.64,42.8,1.12
Punta Arenas,75,CL,1561404012,69,-53.16,-70.91,37.4,21.92
Valparaiso,90,US,1561403915,88,41.47,-87.06,73.4,11.41
Hobart,0,AU,1561404012,69,-42.88,147.33,39.2,8.05
Armidale,67,AU,1561404012,81,-30.51,151.67,44.01,7.0
Butaritari,100,KI,1561404012,77,3.07,172.79,82.52,8.05
Komsomolskiy,91,RU,1561404012,86,67.55,63.78,35.18,7.43
Argentan,100,FR,1561404013,88,48.74,-0.02,69.01,4.7
Busselton,100,AU,1561403624,69,-33.64,115.35,57.0,15.68
Kano,0,NG,1561404013,55,11.99,8.53,87.8,8.05
Esna,75,RO,1561404013,88,45.2,27.57,69.8,11.41
Beringovskiy,100,RU,1561404013,93,63.05,179.32,46.88,7.23
East London,20,ZA,1561404014,87,-33.02,27.91,57.2,12.75
Lebu,40,ET,1561404014,87,8.96,38.73,57.2,3.36
Albany,75,US,1561403878,35,42.65,-73.75,84.99,5.82
Thompson,75,CA,1561404014,56,55.74,-97.86,71.6,9.17
Samarai,90,PG,1561404015,96,-10.62,150.67,74.78,7.96
